ID,시설명,카테고리,위도,경도,주소,도시,구/군,전화번호,평점
1,서울 중앙동물병원,동물병원,37.5665,126.9780,서울시 중구 세종대로 110,서울,중구,02-1234-5678,4.5
2,강남 애견카페 멍멍,애견카페,37.4979,127.0276,서울시 강남구 강남대로 123,서울,강남구,02-2345-6789,4.7
3,홍대 펫프렌즈 식당,애견식당,37.5563,126.9245,서울시 마포구 홍익로 94,서울,마포구,02-3456-7890,4.3
4,한강 애견놀이터,애견놀이터,37.5219,127.0411,서울시 강남구 압구정로 123,서울,강남구,02-4567-8901,4.8
5,신사동 강아지미용실,미용실,37.5240,127.0202,서울시 강남구 논현로 456,서울,강남구,02-5678-9012,4.6
6,이태원 반려동물클리닉,동물병원,37.5346,126.9946,서울시 용산구 이태원로 123,서울,용산구,02-6789-0123,4.4
7,잠실 애견카페 도그파크,애견카페,37.5133,127.1028,서울시 송파구 올림픽로 240,서울,송파구,02-7890-1234,4.5
8,해운대 동물병원,동물병원,35.1631,129.1639,부산시 해운대구 해운대해변로 264,부산,해운대구,051-1234-5678,4.4
9,광안리 애견카페 바다,애견카페,35.1532,129.1184,부산시 수영구 광안해변로 200,부산,수영구,051-2345-6789,4.5
10,센텀 애견호텔,애견호텔,35.1689,129.1311,부산시 해운대구 센텀중앙로 78,부산,해운대구,051-3456-7890,4.7
11,서면 반려동물병원,동물병원,35.1580,129.0595,부산시 부산진구 중앙대로 123,부산,부산진구,051-4567-8901,4.3
12,송도 반려동물병원,동물병원,37.3894,126.6506,인천시 연수구 센트럴로 123,인천,연수구,032-1234-5678,4.6
13,월미도 애견놀이터,애견놀이터,37.4769,126.5933,인천시 중구 월미문화로 36,인천,중구,032-2345-6789,4.4
14,부평 애견카페,애견카페,37.5070,126.7225,인천시 부평구 부평대로 123,인천,부평구,032-3456-7890,4.2
15,동성로 동물병원,동물병원,35.8686,128.5936,대구시 중구 동성로2가 123,대구,중구,053-1234-5678,4.5
16,수성못 애견카페,애견카페,35.8254,128.6301,대구시 수성구 두산동 123,대구,수성구,053-2345-6789,4.6
17,범어 애견미용실,미용실,35.8589,128.6311,대구시 수성구 범어동 456,대구,수성구,053-3456-7890,4.4
18,둔산동 반려동물클리닉,동물병원,36.3504,127.3845,대전시 서구 둔산로 123,대전,서구,042-1234-5678,4.4
19,유성 애견훈련소,훈련소,36.3621,127.3560,대전시 유성구 봉명동 456,대전,유성구,042-2345-6789,4.7
20,은행동 애견카페,애견카페,36.3277,127.4253,대전시 중구 은행동 789,대전,중구,042-3456-7890,4.3
21,상무지구 동물병원,동물병원,35.1520,126.8897,광주시 서구 상무중앙로 123,광주,서구,062-1234-5678,4.5
22,첨단 애견미용실,미용실,35.2260,126.8443,광주시 광산구 첨단중앙로 123,광주,광산구,062-2345-6789,4.6
23,충장로 애견식당,애견식당,35.1471,126.9178,광주시 동구 충장로 456,광주,동구,062-3456-7890,4.2
24,울산 중앙동물병원,동물병원,35.5384,129.3114,울산시 남구 삼산로 123,울산,남구,052-1234-5678,4.4
25,태화강 애견놀이터,애견놀이터,35.5461,129.3322,울산시 중구 태화동 456,울산,중구,052-2345-6789,4.7
26,수원 화성 애견카페,애견카페,37.2636,127.0286,경기도 수원시 팔달구 정조로 123,수원,팔달구,031-1234-5678,4.5
27,성남 판교 동물병원,동물병원,37.3949,127.1107,경기도 성남시 분당구 판교역로 123,성남,분당구,031-2345-6789,4.7
28,용인 애견놀이터,애견놀이터,37.2410,127.1775,경기도 용인시 기흥구 용구대로 123,용인,기흥구,031-3456-7890,4.6
29,일산 호수공원 애견놀이터,애견놀이터,37.6688,126.7606,경기도 고양시 일산동구 호수로 595,고양,일산동구,031-4567-8901,4.7
30,평택 반려동물병원,동물병원,36.9922,127.1125,경기도 평택시 평택로 123,평택,평택시,031-5678-9012,4.3
31,부천 애견호텔,애견호텔,37.5034,126.7660,경기도 부천시 부천로 456,부천,부천시,032-6789-0123,4.5
32,안양 애견미용실,미용실,37.3943,126.9568,경기도 안양시 만안구 안양로 789,안양,만안구,031-7890-1234,4.4
33,춘천 애견카페 숲속,애견카페,37.8813,127.7298,강원도 춘천시 춘천로 123,춘천,춘천시,033-1234-5678,4.6
34,강릉 바다 애견식당,애견식당,37.7519,128.8761,강원도 강릉시 창해로 123,강릉,강릉시,033-2345-6789,4.5
35,속초 반려동물병원,동물병원,38.2070,128.5918,강원도 속초시 중앙로 456,속초,속초시,033-3456-7890,4.3
36,청주 상당 동물병원,동물병원,36.6356,127.4913,충북 청주시 상당구 상당로 123,청주,상당구,043-1234-5678,4.4
37,천안 애견호텔 펫파라다이스,애견호텔,36.8151,127.1139,충남 천안시 동남구 천안대로 456,천안,동남구,041-1234-5678,4.6
38,충주 애견놀이터,애견놀이터,37.0079,127.9258,충북 충주시 중앙탑면 탑평리,충주,중앙탑면,043-2345-6789,4.5
39,전주 한옥마을 애견카페,애견카페,35.8142,127.1530,전북 전주시 완산구 태조로 123,전주,완산구,063-1234-5678,4.8
40,여수 해안 애견놀이터,애견놀이터,34.7604,127.6622,전남 여수시 돌산읍 돌산로 123,여수,돌산읍,061-1234-5678,4.7
41,목포 반려동물병원,동물병원,34.8118,126.3922,전남 목포시 평화로 456,목포,목포시,061-2345-6789,4.4
42,군산 애견미용실,미용실,35.9676,126.7369,전북 군산시 해망로 789,군산,군산시,063-2345-6789,4.3
43,포항 동물병원,동물병원,36.0190,129.3435,경북 포항시 북구 중앙로 123,포항,북구,054-1234-5678,4.5
44,창원 반려동물미용실,미용실,35.2280,128.6811,경남 창원시 의창구 중앙대로 123,창원,의창구,055-1234-5678,4.4
45,진주 애견카페,애견카페,35.1798,128.1076,경남 진주시 진주대로 456,진주,진주시,055-2345-6789,4.5
46,안동 반려동물병원,동물병원,36.5684,128.7294,경북 안동시 경동로 789,안동,안동시,054-2345-6789,4.3
47,제주시 애견카페 오션뷰,애견카페,33.4996,126.5312,제주시 제주도 노형동 123,제주,제주시,064-1234-5678,4.9
48,서귀포 애견놀이터,애견놀이터,33.2541,126.5601,제주 서귀포시 중앙로 123,서귀포,서귀포시,064-2345-6789,4.8
49,제주 중문 반려동물병원,동물병원,33.2541,126.4122,제주 서귀포시 중문관광로 456,서귀포,서귀포시,064-3456-7890,4.6
50,애월 애견호텔,애견호텔,33.4615,126.3194,제주시 애월읍 애월로 789,제주,애월읍,064-4567-8901,4.7